kickoff_order,espn_event_id,stage_zh,group,beijing_datetime,beijing_date,beijing_time,beijing_weekday,home_team,home_team_zh,away_team,away_team_zh,fixture,fixture_zh,home_score,away_score,result,status_state,status_zh,status_detail,venue,city,country,utc_datetime
1,760415,小组赛,A,2026-06-12T03:00:00+08:00,2026-06-12,03:00,周五,Mexico,墨西哥,South Africa,南非,Mexico vs South Africa,墨西哥 vs 南非,2,0,home_win,post,已完赛,FT,Estadio Banorte,Mexico City,Mexico,2026-06-11T19:00Z
2,760414,小组赛,A,2026-06-12T10:00:00+08:00,2026-06-12,10:00,周五,South Korea,韩国,Czechia,捷克,South Korea vs Czechia,韩国 vs 捷克,2,1,home_win,post,已完赛,FT,Estadio Akron,Guadalajara,Mexico,2026-06-12T02:00Z
3,760416,小组赛,B,2026-06-13T03:00:00+08:00,2026-06-13,03:00,周六,Canada,加拿大,Bosnia-Herzegovina,波黑,Canada vs Bosnia-Herzegovina,加拿大 vs 波黑,1,1,draw,post,已完赛,FT,BMO Field,Toronto,Canada,2026-06-12T19:00Z
4,760417,小组赛,D,2026-06-13T09:00:00+08:00,2026-06-13,09:00,周六,United States,美国,Paraguay,巴拉圭,United States vs Paraguay,美国 vs 巴拉圭,4,1,home_win,post,已完赛,FT,SoFi Stadium,"Inglewood, California",USA,2026-06-13T01:00Z
5,760420,小组赛,B,2026-06-14T03:00:00+08:00,2026-06-14,03:00,周日,Qatar,卡塔尔,Switzerland,瑞士,Qatar vs Switzerland,卡塔尔 vs 瑞士,1,1,draw,post,已完赛,FT,Levi's Stadium,"Santa Clara, California",USA,2026-06-13T19:00Z
6,760419,小组赛,C,2026-06-14T06:00:00+08:00,2026-06-14,06:00,周日,Brazil,巴西,Morocco,摩洛哥,Brazil vs Morocco,巴西 vs 摩洛哥,1,1,draw,post,已完赛,FT,MetLife Stadium,"East Rutherford, New Jersey",USA,2026-06-13T22:00Z
7,760418,小组赛,C,2026-06-14T09:00:00+08:00,2026-06-14,09:00,周日,Haiti,海地,Scotland,苏格兰,Haiti vs Scotland,海地 vs 苏格兰,0,1,away_win,post,已完赛,FT,Gillette Stadium,"Foxborough, Massachusetts",USA,2026-06-14T01:00Z
8,760421,小组赛,D,2026-06-14T12:00:00+08:00,2026-06-14,12:00,周日,Australia,澳大利亚,Türkiye,土耳其,Australia vs Türkiye,澳大利亚 vs 土耳其,2,0,home_win,post,已完赛,FT,BC Place,Vancouver,Canada,2026-06-14T04:00Z
9,760422,小组赛,E,2026-06-15T01:00:00+08:00,2026-06-15,01:00,周一,Germany,德国,Curaçao,库拉索,Germany vs Curaçao,德国 vs 库拉索,7,1,home_win,post,已完赛,FT,NRG Stadium,"Houston, Texas",USA,2026-06-14T17:00Z
10,760425,小组赛,F,2026-06-15T04:00:00+08:00,2026-06-15,04:00,周一,Netherlands,荷兰,Japan,日本,Netherlands vs Japan,荷兰 vs 日本,2,2,draw,post,已完赛,FT,AT&T Stadium,"Arlington, Texas",USA,2026-06-14T20:00Z
